date,channel,episodeid,clip_url,starttime,endtime,starttime_seconds,endtime_seconds,Social Media Mention,Social Media Platform,CaptionError,CaptionError_Phrase
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:06,015","00:01:08,151",66.015,68.151,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:08,218","00:01:08,752",68.218,68.752,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:08,818","00:01:11,387",68.818,71.387,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:11,454","00:01:11,554",71.454,71.554,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:11,621","00:01:13,189",71.621,73.189,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:13,256","00:01:14,057",73.256,74.057,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:14,124","00:01:16,626",74.124,76.626,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:16,693","00:01:17,660",76.693,77.66,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:17,727","00:01:20,196",77.727,80.196,No,-,No,-
2020-03-14,CNN,CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon,https://archive.org/details/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon/start/60/end/120,"00:01:20,263","00:01:22,031",80.263,82.031,No,-,No,-
