date,channel,episodeid,clip_url,starttime,endtime,starttime_seconds,endtime_seconds,Social Media Mention,Social Media Platform,CaptionError,CaptionError_Phrase
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:00,984","00:00:02,419",0.984,2.419,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:02,552","00:00:02,819",2.552,2.819,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:02,952","00:00:03,253",2.952,3.253,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:03,386","00:00:04,921",3.386,4.921,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:05,055","00:00:05,789",5.055,5.789,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:05,922","00:00:06,489",5.922,6.489,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:06,623","00:00:07,190",6.623,7.19,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:07,323","00:00:08,658",7.323,8.658,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:08,792","00:00:12,829",8.792,12.829,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:12,962","00:00:14,664",12.962,14.664,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:14,798","00:00:17,901",14.798,17.901,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:18,034","00:00:19,602",18.034,19.602,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:19,736","00:00:21,137",19.736,21.137,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:21,271","00:00:23,840",21.271,23.84,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:23,973","00:00:25,875",23.973,25.875,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:26,009","00:00:27,210",26.009,27.21,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:27,343","00:00:29,646",27.343,29.646,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:29,779","00:00:30,013",29.779,30.013,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:30,146","00:00:31,548",30.146,31.548,No,-,No,-
2020-03-14,MSNBC,MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/details/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams/start/0/end/60,"00:00:31,681","00:00:32,816",31.681,32.816,No,-,No,-
